"","OwnerID","FranchiseNumber","LeagueID","Points","Rank"
"358",358,10,30,1479.1,12
"359",359,11,30,2415.8,3
"360",360,12,30,2058.2,9
"361",361,1,31,2461,2
"362",362,2,31,1964,11
"363",363,3,31,2159.1,8
"364",364,4,31,2564.8,1
"365",365,5,31,2377.7,3
"366",366,6,31,2270,6
"367",367,7,31,2066.9,9
"368",368,8,31,2282.9,5
"369",369,9,31,2364.2,4
"370",370,10,31,2039.6,10
"371",371,11,31,2214.3,7
"372",372,12,31,1820.2,12
"373",373,1,32,2272.7,3
"374",374,2,32,2051.4,9
"375",375,3,32,1988.3,10
"376",376,4,32,1925.5,12
"377",377,5,32,2320.6,2
"378",378,6,32,2200,6
"379",379,7,32,2242.4,5
"380",380,8,32,2250.7,4
"381",381,9,32,1930.3,11
"382",382,10,32,2188.7,7
"383",383,11,32,2087,8
"384",384,12,32,2447.1,1
"385",385,1,33,2400.2,2
"386",386,2,33,2130.2,9
"387",387,3,33,2246.4,5
"388",388,4,33,2403.6,1
"389",389,5,33,1951.9,12
"390",390,6,33,2329.7,3
"391",391,7,33,2286.7,4
"392",392,8,33,2144.7,7
"393",393,9,33,2195.6,6
"394",394,10,33,2003.2,10
"395",395,11,33,1991.2,11
"396",396,12,33,2139.1,8
"397",397,1,34,2260.7,4
"398",398,2,34,2136,8
"399",399,3,34,2371.1,3
"400",400,4,34,1817.5,12
"401",401,5,34,1986.2,10
"402",402,6,34,1936.9,11
"403",403,7,34,2489.7,1
"404",404,8,34,2255.2,5
"405",405,9,34,2203.1,6
"406",406,10,34,2108,9
"407",407,11,34,2197.3,7
"408",408,12,34,2371.2,2
"409",409,1,35,2275.5,4
"410",410,2,35,2244.1,5
"411",411,3,35,1976.1,10
"412",412,4,35,2102.2,8
"413",413,5,35,2317.7,3
"414",414,6,35,2486.3,1
"415",415,7,35,1968.5,11
"416",416,8,35,2199.2,7
"417",417,9,35,2071.8,9
"418",418,10,35,2485.2,2
"419",419,11,35,1951.2,12
"420",420,12,35,2238,6
"421",421,1,36,2238.5,6
"422",422,2,36,2133.1,8
"423",423,3,36,2350.3,1
"424",424,4,36,2322,3
"425",425,5,36,2176.2,7
"426",426,6,36,2248,5
"427",427,7,36,2324.8,2
"428",428,8,36,1928.3,12
"429",429,9,36,1986.9,11
"430",430,10,36,2042.5,9
"431",431,11,36,2008.7,10
"432",432,12,36,2296.1,4
"433",433,1,37,2474.8,1
"434",434,2,37,2050.7,9
"435",435,3,37,2129.8,6
"436",436,4,37,2090,7
"437",437,5,37,2355.7,3
"438",438,6,37,2281.9,4
"439",439,7,37,2387.6,2
"440",440,8,37,2029.5,10
"441",441,9,37,2051.5,8
"442",442,10,37,2271.3,5
"443",443,11,37,1857.2,12
"444",444,12,37,1986.4,11
"445",445,1,38,2451.4,1
"446",446,2,38,2177.3,7
"447",447,3,38,2060.8,9
"448",448,4,38,2436.4,2
"449",449,5,38,2370.5,3
"450",450,6,38,2009.8,10
"451",451,7,38,1838,12
"452",452,8,38,2293.6,5
"453",453,9,38,2196.6,6
"454",454,10,38,2153.3,8
"455",455,11,38,2342,4
"456",456,12,38,1871.9,11
"457",457,1,39,2416.9,2
"458",458,2,39,2465.1,1
"459",459,3,39,2317.1,4
"460",460,4,39,2070.6,10
"461",461,5,39,2321.9,3
"462",462,6,39,2230,6
"463",463,7,39,2103.9,8
"464",464,8,39,2272,5
"465",465,9,39,2153.2,7
"466",466,10,39,2094,9
"467",467,11,39,1976.6,12
"468",468,12,39,2064.9,11
"469",469,1,40,2262,4
"470",470,2,40,2302.6,3
"471",471,3,40,2020.7,11
"472",472,4,40,2218.5,7
"473",473,5,40,2228.3,5
"474",474,6,40,2211,8
"475",475,7,40,2381.2,1
"476",476,8,40,2178.8,9
"477",477,9,40,2336.9,2
"478",478,10,40,2156.3,10
"479",479,11,40,1710.4,12
"480",480,12,40,2224,6
"481",481,1,41,2392.9,4
"482",482,2,41,2508.5,1
"483",483,3,41,2125,7
"484",484,4,41,2361.1,6
"485",485,5,41,1931,11
"486",486,6,41,2041.3,9
"487",487,7,41,1992.3,10
"488",488,8,41,2379,5
"489",489,9,41,2117.9,8
"490",490,10,41,1839.1,12
"491",491,11,41,2431.9,3
"492",492,12,41,2434.4,2
"493",493,1,42,2329.7,4
"494",494,2,42,2389,3
"495",495,3,42,2203.8,8
"496",496,4,42,2068.1,10
"497",497,5,42,2259.8,6
"498",498,6,42,2255.2,7
"499",499,7,42,2434.4,2
"500",500,8,42,2322,5
"501",501,9,42,2533.6,1
"502",502,10,42,2184.2,9
"503",503,11,42,1657.8,12
"504",504,12,42,1809.5,11
"505",505,1,43,2501.5,1
"506",506,2,43,2186.6,8
"507",507,3,43,2074.7,9
"508",508,4,43,2364.3,3
"509",509,5,43,2254.2,5
"510",510,6,43,1920.2,10
"511",511,7,43,2236,6
"512",512,8,43,1398.5,12
"513",513,9,43,2216.3,7
"514",514,10,43,1880.9,11
"515",515,11,43,2336.2,4
"516",516,12,43,2468.1,2
"517",517,1,44,1971.8,10
"518",518,2,44,2286.1,4
